My Chemical Romance:,,links
,Pretty Handsome Awkward,https://youtu.be/G_13J7UxqdY
,,
Taking back sunday,,
,MakeDamnSure,https://www.youtube.com/watch?v=slynhpxDFQM
,Liar (It Takes One To Know One),https://www.youtube.com/watch?v=mkK3Ay_70AU&list=PLFmucNG7mUOlQmqkxJwZv42-Tz5QSGsDw&index=29
,"Cute Without the ""E"" (Cut From the Team)",https://www.youtube.com/watch?v=iduMbx9xHls
,,
Dashboard confessional,,
,Vindicated,https://www.youtube.com/watch?v=JuM6tjk_AQU
,Hands Down,https://www.youtube.com/watch?v=m4KOSv76I-A
,,
Boys like girls,,
,The Great Escape,https://www.youtube.com/watch?v=EJnoHeT5fTg
,Thunder,https://www.youtube.com/watch?v=xwbIoIczWYw
,Hero Heroine,https://www.youtube.com/watch?v=UrVpxHhZOOI
,,
Black Veil Brides,,
,Knives and Pens,https://www.youtube.com/watch?v=u1ReCv1-T-4
,,
Hawthorne heights,,
,Ohio Is For Lovers,https://www.youtube.com/watch?v=vxY2Vjam2_A
,,
The Starting Line,,
,Bedroom Talk,https://www.youtube.com/watch?v=eB77WWCX1ws
,Best Of Me,https://www.youtube.com/watch?v=cPakUAI20n8
,,
Senses Fail,,
,Can’t Be Saved,https://www.youtube.com/watch?v=VVkCCH00MLw
,Calling All Cars,https://www.youtube.com/watch?v=NZu2woJoVz8
,Buried a Lie,https://www.youtube.com/watch?v=gXYykWvMjzQ
,,
Anberlin,,
,The Feel Good Drag,https://www.youtube.com/watch?v=bhNKymeTiZ8
,,
,,
we the kings,Check Yes Juliet,https://www.youtube.com/watch?v=qm4Q3tyHqQA
